Title,Artist,Genre,Release Date,Month,Type,Songs,Duration,Fav,Favs
Pensando mucho y mal,lusillón,indie,13/01/2023,january,Album,10,26min 4s,,⭐
12,Ryuchi Sakamoto,electronic,17/01/2023,january,Album,12,1h 1min,,
BAR$,Saske,rap,19/01/2023,january,Album,9,31min 44s,,
"Losing My Religion, Vol.3",Wase,rap,20/01/2023,january,Album,18,32min 31s,,
Cracker Island,Gorillaz,pop,24/01/2023,january,Album,10,37min 29s,,
Let’s Start Here,Lil Yachty,rock,27/01/2023,january,Album,14,57min 16s,,
FOMO,Paula Cendejas,pop,27/01/2023,january,Album,11,28min 52s,⭐,⭐
Planet Terror,VELA INFAMOUS & Zamoranobeatz,rap,01/02/2023,february,Album,14,40min 28s,,
☆ COSAS DE BRUJAS ☆,María Escarmiento,hyperpop,03/02/2023,february,Album,13,33min 37s,,
"Brazzy Dayz, They Never End",iloveyoubrazzy,rap,09/02/2023,february,Album,15,34 min 23s,,
Raven,Kelela,r&b,10/02/2023,february,Album,15,1h 2min,,
This Is Why,Paramore,rock,10/02/2023,february,Album,10,36min 16s,,⭐
"Desire, I Want to Turn Into You",Caroline Polachek,pop,14/02/2023,february,Album,12,45min 24s,,
GLOW,Wesley Joseph,rap,17/02/2023,february,Album,8,23min 26s,,
_BCN747,_juno,indie,17/02/2023,february,Album,10,38min 4s,,
Diez Vueltas al Sol,Iñigo Merino,pop,23/02/2023,february,EP,4,11min 19s,⭐,⭐
Workin' on a World,Iris DeMent,country,24/02/2023,february,Album,13,1h 2min,,
Contra Todo Pronóstico,Lia Kali,rap,03/03/2023,march,Album,12,35min 41s,,⭐
JUNGLE,The Blaze,electronic,10/03/2023,march,Album,10,44min 52s,,
MPFCTX,Shoda Monkas,rap,10/03/2023,march,EP,5,15min 46s,,
"10,000 gecs",100 gecs,hyperpop,17/03/2023,march,Album,10,26min 53s,,
Swarm,"Ni’jah, KIRBY & Childish Gambino",r&b,17/03/2023,march,EP,6,16min 58s,⭐,⭐
Ways of Knowing,Navy Blue,rap,23/03/2023,march,Album,13,37min 11s,,
Did You Know That There's a Tunnel Under Ocean Blvd,Lana Del Rey,indie,24/03/2023,march,Album,16,1h 17min,,
"SCARING THE HOES ","JPEGMAFIA & Danny Brown ",rap,24/03/2023,march,Album,14,36min 19s,,⭐
the record,boygenius,rock,31/03/2023,march,Album,12,42min 18s,,
Novia del Año,Paula Koops,pop,31/03/2023,march,EP,6,16min 55s,,
Eight Ballers,Johnny Doc & Da*Basement,rap,02/04/2023,april,Album,8,23min 37s,⭐,⭐
Sremm 4 Life,Rae Sremmurd,rap,07/04/2023,april,Album,14,47min 45s,,
Why Does the Earth Give Us People to Love?,Kara Jackson,r&b,14/04/2023,april,Album,13,52min 6s,,
Enigmatic Society,Dinner Party,jazz,14/04/2023,april,Album,9,24min 55s,,
33,Flor De Rap,rap,14/04/2023,april,EP,6,19min 22s,,
All I Wanna Do Is Bang Bang,Rever & Yeke Boy,rap,21/04/2023,april,Album,8,22min 15s,,
Trickstar,Bb trickz,drill,24/04/2023,april,EP,6,10min 54s,,
Ends & Begins,Labrinth,r&b,28/04/2023,april,Album,10,28min 52s,,
¡That! ¡Feels Good!,Jessie Ware,pop,28/04/2023,april,Album,10,40min 26s,,⭐
"Metrópoli ",Ciclo & Guerrita,rap,28/04/2023,april,Album,11,36min 56s,,⭐
Stupido Amore,Mecna,rap,04/05/2023,may,Album,10,32min 21s,,
Won't He Do It,Conway the Machine,rap,05/05/2023,may,Album,14,49min 25s,,
El Tobogán,Cráneo & Bejo,rap,11/05/2023,may,Album,10,29min 52s,,
Alto Cielo,Queralt Lahoz,indie,12/05/2023,may,EP,4,13min 25s,,
Oráculo,Chica Sobresalto,pop,12/05/2023,may,Album,11,38min 29s,,⭐
Doctrina,VELA INFAMOUS & Zamoranobeatz,rap,12/05/2023,may,EP,6,18min 46s,,
Paraíso 39,Juancho Marqués,rap,18/05/2023,may,Album,16,1h 2min,,
EN UNA NUBE,Dudi,rap,19/05/2023,may,EP,4,9min 47s,,⭐
4 TEMAS,"Erick Hervé  ",rap,19/05/2023,may,EP,4,12min 42s,⭐,⭐
Me Muevo Con Dios,Cruz Cafuné,trap,25/05/2023,may,Album,23,1h 16min,⭐,⭐
16 MILLAS,Prok & Akapellah,rap,26/05/2023,may,Album,7,22min 31s,,
Amores Náufragos,Meri Deal,pop,31/05/2023,may,Album,13,36min 16s,,
But Here We Are,Foo Fighters,rock,02/06/2023,june,Album,10,48min 14s,,
Split Decision,Dave & Central Cee,drill,04/06/2023,june,EP,4,16min 23s,,
6,Kenny Mason,rap,06/06/2023,june,Album,9,30min 29s,,
When I Hear Your Name,Maeta,r&b,09/06/2023,june,Album,13,40min 15s,,
Nada que aportar,yavy,pop,09/06/2023,june,Album,9,25min 31s,,
El Pelusa Jiménez,Hide Tyson & Trozos de Groove,rap,15/06/2023,june,Album,9,20min 13s,,
Artillería,"Samuraï ",indie,15/06/2023,june,EP,6,17min 24s,⭐,⭐
"Pánico ",Vico C,rap,15/06/2023,june,Album,13,1h 1min,,⭐
"it’s not you, it’s me",Chase Shakur,r&b,16/06/2023,june,Album,10,27min 23s,,
PetroDragonic Apocalypse,King Gizzard & The Lizard Wizard,heavy metal,16/06/2023,june,Album,7,48min 40s,,
claridad,Marina Reche,pop,16/06/2023,june,EP,7,20min 25s,⭐,⭐
Time Over Money,Kavel,rap,22/06/2023,june,Album,11,31min 22s,,
Your Momma,Javier Laocoonte & G.Bautista,rap,23/06/2023,june,EP,4,14min 3s,,
PO2054AZ (Vol.I),Sen Senra,pop,23/06/2023,june,Album,13,41min 1s,,⭐
Hay Fantasmas Todavía,Cevlade,rap,30/06/2023,june,Album,13,40min 32s,,
My Back Was a Bridge for You to Cross,ANOHNI & Antony and the Johnsons,indie,06/07/2023,july,Album,10,41min 23s,,
The Open Range,U-Love,r&b,13/07/2023,july,Album,14,27min 21s,,
Beautiful and Brutal Yard,J Hus,rap,14/07/2023,july,Album,19,1h 3min,⭐,⭐
SS23,Holics,rap,15/07/2023,july,Album,10,27min 26s,,
Something,Sol ChYld,rap,21/07/2023,july,EP,3,6min 38s,,
Get Up,NewJeans,k-pop,21/07/2023,july,EP,6,12min 13s,,
new jazz,kyra,electronic,22/07/2023,july,EP,5,9min 27s,,
The Loveliest Time,Carly Rae Jepsen,pop,28/07/2023,july,Album,13,43min 35s,,⭐
UTOPIA,Travis Scott,trap,28/07/2023,july,Album,19,1h 13min,,
METANOIA,Belén Aguilera,hyperpop,30/07/2023,july,Album,7,18min 59s,,
Volcano,Jungle,dance,11/08/2023,august,Album,14,44min 40s,⭐,⭐
Sundial,Noname,rap,11/08/2023,august,Album,11,31min 54s,,⭐
Hotel 1105,D2x,rap,23/08/2023,august,Album,10,38min 56s,,
ESTRELLA,Mora,reggaeton,28/08/2023,august,Album,15,48min 10s,,
El Lamento de los Niños Pobres,SECCIO & Sweet Home,rap,01/09/2023,september,Album,12,33min 27s,⭐,⭐
PERRO VERDE,Escandaloso Xpósito & Ciclo,rap,04/09/2023,september,Album,12,37min 17s,,
Camina Conmigo,Locus,rap,06/09/2023,september,Album,7,26min 27s,,
Playing Robots into Heaven,James Blake,experimental,08/09/2023,september,Album,11,42min 44s,,⭐
"Papel de Burbujas ",Xavibo,pop,13/09/2023,september,Album,13,41min 41s,⭐,⭐
The Love Album: Off The Grid,Diddy,r&b,15/09/2023,september,Album,23,1h 24min,,
Alpha,Aitana,pop,22/09/2023,september,Album,15,,,
falling or flying,Jorja Smith,r&b,29/09/2023,september,Album,16,,,